Alabama,53612.925855513306
Alaska,77670.20952380952
Arizona,62578.07131280389
Arkansas,52060.361764705885
California,78126.73780487805
Colorado,73322.82129277567
Connecticut,89227.21971830986
Delaware,70142.34090909091
District of Columbia,90668.421875
Florida,60887.88982540638
Georgia,60354.39119804401
Hawaii,77859.58695652174
Idaho,56211.44295302014
Illinois,69067.38155136269
Indiana,59153.83238636364
Iowa,62569.14537444934
Kansas,61704.81889763779
Kentucky,55250.16297786721
Louisiana,55432.26418786693
Maine,60708.52229299363
Maryland,87689.60409556315
Massachusetts,84878.68358208955
Michigan,59001.124361158436
Minnesota,71403.9984399376
Mississippi,48924.0031152648
Missouri,56674.88285714286
Montana,57350.55405405405
Nebraska,61719.38545454545
Nevada,65684.12075471698
New Hampshire,76113.50381679389
New Jersey,88657.64414414414
New Mexico,57127.075
New York,76201.22083333334
North Carolina,57750.10491803279
North Dakota,65137.06722689076
Ohio,59675.86360266864
Oklahoma,55121.33125
Oregon,63597.04909560723
Pennsylvania,64878.69491525424
Puerto Rico,27255.576315789473
Rhode Island,72971.1743119266
South Carolina,55715.248366013075
South Dakota,58276.9609375
Tennessee,56271.95245901639
Texas,65407.010434782605
Utah,72132.21455938698
Vermont,63195.49397590361
Virginia,79401.74012738853
Washington,74067.36191860466
West Virginia,52291.99596774193
Wisconsin,64143.255192878336
Wyoming,67552.66666666667
